Occupational category,Occupation type,Number,Total workers with a disability,Ambulatory difficulty Percent,Hearing difficulty Percent,Cognitive difficulty Percent,Vision difficulty Percent,Independent living difficulty Percent,Self-care difficulty Percent
Gaming cage workers,Detailed,-,-,-,-,-,-,-,-
Payroll and timekeeping clerks,Detailed,"8,455","8,455",47.5,22.6,20.3,19.5,18.2,11.3
Procurement clerks,Detailed,-,-,-,-,-,-,-,-
Tellers,Detailed,"13,190","13,190",40.8,21.5,26.6,34.8,20.8,9.9
"Financial clerks, all other",Detailed,-,-,-,-,-,-,-,-
Brokerage clerks,Detailed,-,-,-,-,-,-,-,-
Correspondence clerks,Detailed,-,-,-,-,-,-,-,-
"Court, municipal, and license clerks",Detailed,-,-,-,-,-,-,-,-
"Credit authorizers, checkers, and clerks",Detailed,-,-,-,-,-,-,-,-
Customer service representatives,Detailed,"180,605","180,605",35.4,20.8,35.6,21.8,19.2,8.2
"Eligibility interviewers, government programs",Detailed,-,-,-,-,-,-,-,-
File clerks,Detailed,"18,050","18,050",37.6,23.6,33.7,19.1,18.2,8.8
"Hotel, motel, and resort desk clerks",Detailed,"10,995","10,995",28.6,17.5,44.3,24.6,17.7,6.7
"Interviewers, except eligibility and loan",Detailed,"12,015","12,015",44.4,25.1,30.7,20.5,17.3,8.6
"Library assistants, clerical",Detailed,"6,530","6,530",33.2,20.5,36.2,20.3,13.0,6.9
Loan interviewers and clerks,Detailed,-,-,-,-,-,-,-,-
New accounts clerks,Detailed,-,-,-,-,-,-,-,-
Order clerks,Detailed,"9,630","9,630",39.6,23.1,32.4,23.8,24.9,15.7
"Human resources assistants, except payroll and timekeeping",Detailed,-,-,-,-,-,-,-,-
Receptionists and information clerks,Detailed,"80,295","80,295",45.6,18.4,30.6,22.9,22.3,9.4
Reservation and transportation ticket agents and travel clerks,Detailed,"10,235","10,235",48.8,26.8,20.9,29.4,20.5,7.6
"Information and record clerks, all other",Detailed,"6,455","6,455",41.0,16.7,25.9,14.4,16.7,3.2
Cargo and freight agents,Detailed,-,-,-,-,-,-,-,-
Couriers and messengers,Detailed,"18,955","18,955",33.7,38.2,29.9,16.9,14.2,7.0
Dispatchers,Detailed,"19,785","19,785",50.2,24.4,26.4,20.0,19.7,8.3
"Meter readers, utilities",Detailed,-,-,-,-,-,-,-,-
Postal service clerks,Detailed,"7,555","7,555",54.5,35.9,22.7,15.5,19.8,9.3
Postal service mail carriers,Detailed,"20,755","20,755",33.2,42.2,21.9,17.6,13.0,6.8
"Postal service mail sorters, processors, and processing machine operators",Detailed,-,-,-,-,-,-,-,-
"Production, planning, and expediting clerks",Detailed,"19,345","19,345",37.8,26.9,22.6,20.2,11.9,3.8
"Shipping, receiving, and traffic clerks",Detailed,"38,535","38,535",27.0,34.1,27.3,23.3,14.2,6.0
Stock clerks and order fillers,Detailed,"141,460","141,460",26.1,23.1,45.4,18.8,25.8,7.9
"Weighers, measurers, checkers, and samplers, recordkeeping",Detailed,-,-,-,-,-,-,-,-
Secretaries and administrative assistants,Detailed,"189,440","189,440",47.0,23.5,21.0,21.0,17.7,8.1
Computer operators,Detailed,"6,875","6,875",40.3,23.6,24.2,21.4,18.1,8.9
Data entry keyers,Detailed,"28,530","28,530",39.9,20.7,29.8,16.4,24.8,9.0
Word processors and typists,Detailed,"17,815","17,815",41.6,21.3,27.5,22.6,17.0,9.8
Desktop publishers,Detailed,-,-,-,-,-,-,-,-
Insurance claims and policy processing clerks,Detailed,"18,550","18,550",47.8,19.2,27.5,20.6,19.0,8.4
